Shipment_ID,Order_ID,Container_No,Shipping_Date,Arrival_Date,Port,Destination_Country,Shipping_Cost,Delay_Days,Shipment_Status
SHIP00527,ORD02468,CONT27260,2024-04-19,2024-05-24,Chennai Port,Japan,137009,1,Delivered
SHIP00528,ORD02408,CONT51926,2025-03-10,2025-03-29,Tuticorin Port,France,106002,3,In Transit
SHIP00529,ORD02259,CONT82957,2025-09-18,2025-10-14,Chennai Port,France,62844,4,In Transit
SHIP00530,ORD01449,CONT25709,2024-09-29,2024-10-29,Chennai Port,South Korea,125575,1,Delivered
SHIP00531,ORD02018,CONT27438,2025-08-01,2025-08-23,Tuticorin Port,China,139435,5,Delivered
SHIP00532,ORD02031,CONT35957,2025-05-08,2025-06-21,Chennai Port,Vietnam,140958,10,Delivered
SHIP00533,ORD02614,CONT32525,2024-06-22,2024-07-30,Chennai Port,Japan,86797,10,In Transit
SHIP00534,ORD00197,CONT10091,2025-01-01,2025-02-09,Tuticorin Port,UK,106547,3,In Transit
SHIP00535,ORD01929,CONT88633,2024-06-22,2024-07-08,Tuticorin Port,Vietnam,143256,1,Delivered
SHIP00536,ORD01362,CONT82662,2024-09-16,2024-10-19,Tuticorin Port,South Korea,99524,6,Delivered
SHIP00537,ORD00894,CONT56991,2024-03-05,2024-03-30,Tuticorin Port,France,88931,6,In Transit
SHIP00538,ORD02767,CONT97865,2024-12-09,2025-01-16,Tuticorin Port,USA,91997,8,In Transit
SHIP00539,ORD00697,CONT75515,2024-09-07,2024-09-27,Tuticorin Port,UK,98158,10,In Transit
SHIP00540,ORD01167,CONT98371,2024-07-22,2024-08-08,Chennai Port,France,63633,10,In Transit
SHIP00541,ORD00359,CONT25081,2024-09-24,2024-10-25,Tuticorin Port,Germany,130752,2,In Transit
SHIP00542,ORD01288,CONT43231,2024-07-27,2024-09-10,Chennai Port,Germany,34867,0,In Transit
SHIP00543,ORD00622,CONT20825,2024-11-16,2024-12-13,Chennai Port,Italy,60376,10,In Transit
SHIP00544,ORD02551,CONT66120,2024-01-09,2024-02-14,Tuticorin Port,Germany,81712,6,In Transit
SHIP00545,ORD00895,CONT34653,2024-02-02,2024-03-05,Tuticorin Port,South Korea,95520,9,Delivered
SHIP00546,ORD00287,CONT86570,2024-04-03,2024-04-25,Tuticorin Port,South Korea,116361,10,Delivered
SHIP00547,ORD00881,CONT72986,2024-09-26,2024-11-05,Chennai Port,Japan,130003,2,In Transit
SHIP00548,ORD00854,CONT39717,2024-08-25,2024-09-16,Chennai Port,Vietnam,84683,7,In Transit
SHIP00549,ORD02379,CONT11985,2025-05-22,2025-07-04,Chennai Port,Vietnam,48701,3,In Transit
SHIP00550,ORD01207,CONT20003,2025-08-21,2025-09-19,Chennai Port,Germany,105485,5,Delivered
SHIP00551,ORD00166,CONT62256,2025-01-19,2025-02-16,Chennai Port,UK,135153,5,Delivered
SHIP00552,ORD00434,CONT26998,2025-10-03,2025-10-22,Tuticorin Port,Germany,146484,4,In Transit
SHIP00553,ORD02254,CONT49914,2025-02-14,2025-03-26,Tuticorin Port,Germany,52989,9,Delivered
SHIP00554,ORD01005,CONT17823,2025-09-28,2025-11-10,Chennai Port,France,149638,1,In Transit
SHIP00555,ORD02742,CONT93181,2025-08-27,2025-09-17,Tuticorin Port,Vietnam,58627,8,Delivered
SHIP00556,ORD00676,CONT14994,2025-07-20,2025-08-09,Tuticorin Port,UK,132103,6,In Transit
SHIP00557,ORD01570,CONT98738,2024-12-27,2025-01-26,Tuticorin Port,USA,37631,4,Delivered
SHIP00558,ORD00221,CONT73435,2025-04-01,2025-04-21,Tuticorin Port,Vietnam,35575,3,Delivered
SHIP00559,ORD00864,CONT78696,2025-08-20,2025-09-06,Chennai Port,Italy,71818,10,In Transit
SHIP00560,ORD00517,CONT90098,2024-05-31,2024-07-14,Tuticorin Port,France,146327,1,In Transit
SHIP00561,ORD01262,CONT62604,2024-07-10,2024-08-18,Chennai Port,Germany,115710,9,In Transit
SHIP00562,ORD00269,CONT16669,2025-01-06,2025-02-18,Chennai Port,UK,95685,9,In Transit
SHIP00563,ORD01911,CONT53086,2024-10-31,2024-11-18,Chennai Port,Spain,103677,9,In Transit
SHIP00564,ORD02770,CONT84395,2024-07-10,2024-08-16,Chennai Port,USA,43321,6,Delivered
SHIP00565,ORD02518,CONT46913,2024-08-26,2024-09-10,Chennai Port,Japan,126440,10,Delivered
SHIP00566,ORD02987,CONT95283,2025-06-25,2025-07-17,Tuticorin Port,South Korea,79379,3,In Transit
SHIP00567,ORD00485,CONT89410,2025-09-16,2025-10-12,Tuticorin Port,Vietnam,90749,8,In Transit
SHIP00568,ORD00270,CONT33600,2024-09-16,2024-10-09,Chennai Port,UK,122822,9,In Transit
SHIP00569,ORD02889,CONT69153,2024-03-20,2024-04-21,Tuticorin Port,South Korea,51046,5,In Transit
SHIP00570,ORD01049,CONT59788,2025-01-02,2025-02-16,Chennai Port,Italy,46165,8,Delivered
SHIP00571,ORD00914,CONT19494,2024-07-17,2024-08-26,Tuticorin Port,Italy,51514,1,In Transit
SHIP00572,ORD01578,CONT60121,2024-08-27,2024-09-12,Chennai Port,Japan,80866,0,In Transit
SHIP00573,ORD01721,CONT84554,2024-12-21,2025-02-01,Chennai Port,USA,138365,4,Delivered
SHIP00574,ORD00987,CONT58775,2025-08-29,2025-10-08,Tuticorin Port,Germany,120785,6,In Transit
SHIP00575,ORD02658,CONT34881,2025-07-25,2025-09-07,Tuticorin Port,Germany,146745,5,Delivered
SHIP00576,ORD02063,CONT86716,2024-01-02,2024-02-15,Tuticorin Port,Spain,54894,6,In Transit
SHIP00577,ORD00314,CONT33913,2025-08-19,2025-09-12,Tuticorin Port,Spain,95903,4,In Transit
SHIP00578,ORD00443,CONT12086,2024-03-13,2024-04-11,Tuticorin Port,Vietnam,71970,1,In Transit
SHIP00579,ORD00034,CONT80668,2024-12-17,2025-01-29,Tuticorin Port,USA,101183,0,In Transit
SHIP00580,ORD00385,CONT77439,2025-03-12,2025-04-21,Chennai Port,Vietnam,58557,2,Delivered
SHIP00581,ORD01506,CONT36903,2024-03-04,2024-04-02,Tuticorin Port,Italy,56352,0,In Transit
SHIP00582,ORD01196,CONT32447,2024-08-11,2024-09-14,Chennai Port,USA,102876,3,In Transit
SHIP00583,ORD01762,CONT38154,2025-09-10,2025-09-30,Tuticorin Port,Italy,32725,0,Delivered
SHIP00584,ORD01340,CONT65412,2025-04-30,2025-06-07,Chennai Port,China,80349,0,Delivered
SHIP00585,ORD02811,CONT97258,2024-06-21,2024-08-02,Tuticorin Port,UK,89845,1,In Transit
SHIP00586,ORD01470,CONT14356,2025-04-24,2025-05-09,Chennai Port,Germany,80232,3,Delivered
SHIP00587,ORD02852,CONT21514,2024-05-15,2024-06-05,Chennai Port,Germany,111998,8,Delivered
SHIP00588,ORD00305,CONT51435,2025-07-14,2025-08-22,Chennai Port,Vietnam,148535,0,In Transit
SHIP00589,ORD00361,CONT88137,2024-05-23,2024-07-02,Tuticorin Port,Italy,99777,10,In Transit
SHIP00590,ORD01993,CONT30454,2025-05-20,2025-06-12,Chennai Port,Japan,132944,1,In Transit
SHIP00591,ORD00402,CONT41720,2025-03-21,2025-05-01,Tuticorin Port,Germany,70732,7,In Transit
SHIP00592,ORD01423,CONT83924,2025-02-10,2025-02-27,Tuticorin Port,France,85310,0,Delivered
SHIP00593,ORD00755,CONT40091,2024-05-16,2024-06-28,Tuticorin Port,Vietnam,83090,4,Delivered
SHIP00594,ORD01250,CONT89372,2025-03-20,2025-04-23,Chennai Port,Italy,96876,7,Delivered
SHIP00595,ORD02769,CONT78141,2025-09-12,2025-10-19,Chennai Port,UK,63234,1,Delivered
SHIP00596,ORD00583,CONT25032,2025-10-27,2025-11-15,Tuticorin Port,France,60264,10,In Transit
SHIP00597,ORD00229,CONT47342,2024-01-14,2024-02-28,Chennai Port,South Korea,103264,0,Delivered
SHIP00598,ORD00075,CONT62285,2024-01-18,2024-02-14,Chennai Port,Vietnam,148877,0,In Transit
SHIP00599,ORD02587,CONT90120,2024-01-04,2024-02-13,Tuticorin Port,Italy,34309,0,In Transit
SHIP00600,ORD01454,CONT79289,2025-04-18,2025-05-06,Tuticorin Port,UK,38412,8,Delivered
SHIP00601,ORD01894,CONT73402,2024-05-31,2024-06-16,Chennai Port,South Korea,105993,7,Delivered
SHIP00602,ORD00360,CONT13844,2024-02-18,2024-03-04,Tuticorin Port,Japan,143270,5,Delivered
SHIP00603,ORD00593,CONT18359,2025-06-28,2025-07-23,Chennai Port,Japan,77040,6,Delivered
SHIP00604,ORD01062,CONT94222,2025-07-02,2025-07-30,Chennai Port,Spain,52712,9,In Transit
SHIP00605,ORD01227,CONT26807,2025-07-30,2025-08-14,Chennai Port,USA,103489,5,Delivered
SHIP00606,ORD01229,CONT30407,2024-11-11,2024-12-05,Tuticorin Port,UK,38087,9,In Transit
SHIP00607,ORD00865,CONT45992,2025-06-07,2025-07-13,Chennai Port,USA,82431,9,Delivered
SHIP00608,ORD00979,CONT49763,2024-09-03,2024-09-28,Chennai Port,Japan,101195,6,Delivered
SHIP00609,ORD00788,CONT10375,2024-06-14,2024-07-16,Tuticorin Port,Japan,89485,1,Delivered
SHIP00610,ORD00429,CONT69526,2025-02-21,2025-04-05,Chennai Port,China,98975,8,Delivered
SHIP00611,ORD02847,CONT34828,2025-10-17,2025-11-30,Tuticorin Port,Germany,56960,10,Delivered
SHIP00612,ORD00048,CONT11775,2025-08-01,2025-08-24,Chennai Port,Spain,69780,3,Delivered
SHIP00613,ORD01217,CONT27130,2025-08-01,2025-09-07,Tuticorin Port,Italy,147729,10,In Transit
SHIP00614,ORD02574,CONT97258,2025-09-25,2025-10-26,Tuticorin Port,Italy,60780,9,Delivered
SHIP00615,ORD00969,CONT22879,2024-01-05,2024-01-29,Chennai Port,UK,127428,6,In Transit
SHIP00616,ORD00261,CONT55673,2024-07-03,2024-08-17,Tuticorin Port,South Korea,47310,4,Delivered
SHIP00617,ORD02171,CONT41855,2025-05-18,2025-06-13,Chennai Port,USA,76883,6,Delivered
SHIP00618,ORD01927,CONT40804,2024-07-24,2024-08-09,Tuticorin Port,Germany,80388,0,Delivered
SHIP00619,ORD01521,CONT90108,2025-06-23,2025-08-01,Tuticorin Port,Japan,121221,7,Delivered
SHIP00620,ORD02349,CONT75516,2024-04-12,2024-05-11,Tuticorin Port,China,71086,7,In Transit
SHIP00621,ORD00587,CONT27734,2025-06-07,2025-07-16,Tuticorin Port,France,92613,4,In Transit
SHIP00622,ORD00407,CONT36736,2024-07-19,2024-08-21,Chennai Port,Germany,55710,3,Delivered
SHIP00623,ORD02343,CONT85965,2024-10-27,2024-12-07,Chennai Port,Japan,53786,8,Delivered
SHIP00624,ORD02799,CONT96827,2025-07-22,2025-08-13,Tuticorin Port,Germany,107617,0,Delivered
SHIP00625,ORD02507,CONT10617,2025-07-25,2025-08-29,Chennai Port,France,76982,8,In Transit
SHIP00626,ORD02740,CONT10748,2025-09-11,2025-10-17,Chennai Port,Vietnam,135832,3,In Transit
SHIP00627,ORD00573,CONT97537,2025-10-16,2025-11-02,Tuticorin Port,Spain,124065,5,In Transit
SHIP00628,ORD02614,CONT66730,2024-06-22,2024-07-09,Chennai Port,Spain,140622,1,In Transit
SHIP00629,ORD02109,CONT14059,2025-01-17,2025-02-13,Tuticorin Port,France,62295,3,In Transit
SHIP00630,ORD00098,CONT49622,2025-01-21,2025-02-21,Chennai Port,Vietnam,132907,1,Delivered
SHIP00631,ORD01114,CONT89397,2025-02-05,2025-03-02,Chennai Port,Japan,67953,4,Delivered
SHIP00632,ORD01156,CONT37737,2024-11-01,2024-12-03,Tuticorin Port,France,82168,2,In Transit
SHIP00633,ORD00204,CONT12608,2025-02-04,2025-02-21,Tuticorin Port,France,92775,3,In Transit
SHIP00634,ORD02865,CONT81879,2025-05-12,2025-06-06,Tuticorin Port,Italy,142058,9,Delivered
SHIP00635,ORD02285,CONT37830,2024-07-23,2024-08-09,Chennai Port,Germany,33763,6,Delivered
SHIP00636,ORD00974,CONT83624,2025-06-28,2025-08-09,Chennai Port,USA,32399,3,In Transit
SHIP00637,ORD01302,CONT56370,2025-09-26,2025-10-11,Tuticorin Port,UK,73735,4,In Transit
SHIP00638,ORD00538,CONT90798,2024-07-30,2024-08-31,Tuticorin Port,Italy,106632,3,In Transit
SHIP00639,ORD01642,CONT18186,2024-02-29,2024-04-08,Tuticorin Port,Germany,132115,1,Delivered
SHIP00640,ORD02244,CONT64483,2024-10-02,2024-11-04,Chennai Port,Germany,37861,6,In Transit
SHIP00641,ORD02068,CONT75089,2024-05-11,2024-06-10,Tuticorin Port,Germany,114492,2,In Transit
SHIP00642,ORD00613,CONT91341,2025-08-13,2025-08-31,Tuticorin Port,France,46848,4,Delivered
SHIP00643,ORD01891,CONT78214,2025-05-08,2025-05-30,Tuticorin Port,Italy,57915,3,In Transit
SHIP00644,ORD00414,CONT43363,2024-07-02,2024-08-15,Tuticorin Port,France,121760,6,In Transit
SHIP00645,ORD00896,CONT49070,2025-09-05,2025-09-26,Tuticorin Port,China,63003,2,Delivered
SHIP00646,ORD02001,CONT54978,2025-06-04,2025-06-25,Tuticorin Port,UK,112229,6,In Transit
SHIP00647,ORD02450,CONT22108,2024-05-08,2024-06-04,Tuticorin Port,USA,125506,10,In Transit
SHIP00648,ORD00610,CONT66567,2025-07-20,2025-08-25,Chennai Port,Germany,46874,4,In Transit
SHIP00649,ORD00210,CONT50745,2025-09-24,2025-10-22,Chennai Port,USA,144109,2,In Transit
SHIP00650,ORD00651,CONT57243,2024-11-27,2024-12-24,Tuticorin Port,Japan,107770,0,Delivered
SHIP00651,ORD00647,CONT15298,2025-01-11,2025-02-10,Chennai Port,France,64848,6,In Transit
SHIP00652,ORD01138,CONT19038,2025-10-02,2025-11-14,Chennai Port,USA,56426,6,In Transit
SHIP00653,ORD02354,CONT76269,2024-10-14,2024-11-03,Chennai Port,USA,117497,2,Delivered
SHIP00654,ORD01312,CONT53240,2025-07-17,2025-08-24,Tuticorin Port,South Korea,47172,10,Delivered
SHIP00655,ORD01226,CONT14075,2025-03-02,2025-04-16,Chennai Port,USA,140193,4,Delivered
SHIP00656,ORD02666,CONT96024,2024-10-11,2024-10-30,Tuticorin Port,UK,60099,7,Delivered
SHIP00657,ORD02605,CONT94886,2024-05-11,2024-06-13,Tuticorin Port,USA,89417,4,Delivered
SHIP00658,ORD00625,CONT80231,2025-09-01,2025-10-03,Chennai Port,Japan,114475,3,Delivered
SHIP00659,ORD00951,CONT49160,2024-06-18,2024-08-01,Chennai Port,Japan,109920,10,Delivered
SHIP00660,ORD01270,CONT55305,2024-05-01,2024-05-31,Tuticorin Port,Italy,74984,10,Delivered
SHIP00661,ORD01280,CONT76740,2024-04-25,2024-05-10,Tuticorin Port,UK,70054,1,In Transit
SHIP00662,ORD00977,CONT91131,2024-08-04,2024-08-24,Tuticorin Port,France,77326,9,Delivered
SHIP00663,ORD01964,CONT30463,2025-01-21,2025-02-12,Tuticorin Port,USA,132918,5,Delivered
SHIP00664,ORD01782,CONT29278,2025-07-29,2025-08-25,Tuticorin Port,UK,129848,0,In Transit
SHIP00665,ORD00739,CONT45499,2025-03-05,2025-03-29,Chennai Port,Vietnam,135621,0,In Transit
SHIP00666,ORD02464,CONT99300,2025-06-02,2025-06-24,Tuticorin Port,USA,55727,0,Delivered
SHIP00667,ORD02559,CONT62144,2024-01-19,2024-02-13,Tuticorin Port,Spain,65586,3,Delivered
SHIP00668,ORD01296,CONT12401,2025-03-10,2025-04-15,Tuticorin Port,Spain,107508,8,Delivered
SHIP00669,ORD00380,CONT97876,2024-01-28,2024-02-28,Tuticorin Port,France,134282,1,Delivered
SHIP00670,ORD02448,CONT56156,2025-02-09,2025-03-20,Tuticorin Port,Vietnam,45417,0,Delivered
SHIP00671,ORD01772,CONT95653,2025-10-24,2025-11-15,Tuticorin Port,Spain,50084,3,In Transit
SHIP00672,ORD02591,CONT82210,2024-07-22,2024-08-16,Chennai Port,France,55528,10,Delivered
SHIP00673,ORD01833,CONT89839,2025-01-08,2025-02-21,Tuticorin Port,Germany,100254,6,Delivered
SHIP00674,ORD01931,CONT61077,2024-06-20,2024-07-05,Chennai Port,France,120235,6,Delivered
SHIP00675,ORD02176,CONT21705,2024-08-23,2024-09-25,Chennai Port,UK,115745,4,Delivered
SHIP00676,ORD02076,CONT99255,2025-11-09,2025-12-02,Chennai Port,Italy,142969,9,Delivered
SHIP00677,ORD02025,CONT79327,2024-01-16,2024-02-10,Tuticorin Port,Spain,34460,8,In Transit
SHIP00678,ORD01857,CONT53153,2025-04-26,2025-06-09,Chennai Port,South Korea,90341,4,Delivered
SHIP00679,ORD01889,CONT88852,2025-01-26,2025-02-10,Chennai Port,Vietnam,91554,9,In Transit
SHIP00680,ORD01535,CONT80495,2024-11-16,2024-12-23,Tuticorin Port,USA,30326,0,Delivered
SHIP00681,ORD01961,CONT27460,2024-10-07,2024-11-10,Chennai Port,UK,47759,1,Delivered
SHIP00682,ORD02943,CONT16310,2025-08-08,2025-09-18,Chennai Port,UK,127836,7,Delivered
SHIP00683,ORD01009,CONT56497,2024-04-10,2024-05-13,Tuticorin Port,Spain,85237,7,Delivered
SHIP00684,ORD02548,CONT91389,2025-08-26,2025-09-20,Chennai Port,USA,48567,6,Delivered
SHIP00685,ORD01656,CONT63126,2024-02-19,2024-03-29,Tuticorin Port,Japan,36833,10,In Transit
SHIP00686,ORD01821,CONT34113,2025-06-13,2025-07-13,Tuticorin Port,Germany,78093,4,Delivered
SHIP00687,ORD02593,CONT71115,2025-09-22,2025-10-29,Tuticorin Port,China,64011,7,In Transit
SHIP00688,ORD00415,CONT25872,2024-05-07,2024-05-28,Chennai Port,Spain,97964,4,Delivered
SHIP00689,ORD02627,CONT58033,2024-11-30,2024-12-22,Tuticorin Port,France,104497,1,In Transit
SHIP00690,ORD01230,CONT51463,2025-06-08,2025-07-03,Chennai Port,UK,35754,0,Delivered
SHIP00691,ORD01487,CONT49052,2024-05-06,2024-05-27,Chennai Port,UK,97231,10,Delivered
SHIP00692,ORD02204,CONT32261,2024-03-08,2024-04-05,Chennai Port,Spain,78743,2,Delivered
SHIP00693,ORD02622,CONT76461,2024-08-03,2024-09-02,Tuticorin Port,China,30985,8,Delivered
SHIP00694,ORD00438,CONT92476,2024-04-05,2024-05-11,Chennai Port,South Korea,30442,2,In Transit
SHIP00695,ORD01853,CONT39107,2024-09-18,2024-10-16,Chennai Port,UK,77402,8,In Transit
SHIP00696,ORD02617,CONT89852,2025-03-22,2025-04-29,Tuticorin Port,USA,40758,3,In Transit
SHIP00697,ORD01796,CONT93583,2025-06-17,2025-07-16,Chennai Port,USA,144031,3,Delivered
SHIP00698,ORD00430,CONT29781,2024-03-28,2024-04-20,Tuticorin Port,USA,128601,3,Delivered
SHIP00699,ORD00744,CONT20837,2025-10-10,2025-10-31,Tuticorin Port,Germany,32754,7,In Transit
SHIP00700,ORD00359,CONT20416,2024-06-12,2024-07-18,Tuticorin Port,Spain,59338,8,Delivered
SHIP00701,ORD02017,CONT55179,2025-09-06,2025-09-28,Chennai Port,Japan,33258,2,In Transit
SHIP00702,ORD02001,CONT64380,2025-06-15,2025-07-20,Chennai Port,China,46564,5,In Transit
SHIP00703,ORD02750,CONT78411,2025-09-23,2025-10-11,Tuticorin Port,South Korea,121216,10,Delivered
SHIP00704,ORD02400,CONT24346,2024-06-17,2024-07-03,Tuticorin Port,Japan,62607,0,In Transit
SHIP00705,ORD02519,CONT70904,2024-01-17,2024-02-29,Chennai Port,UK,110562,8,Delivered
SHIP00706,ORD00015,CONT14310,2024-10-16,2024-11-28,Chennai Port,South Korea,107679,5,In Transit
SHIP00707,ORD00943,CONT98856,2024-07-18,2024-08-25,Tuticorin Port,Spain,103985,3,In Transit
SHIP00708,ORD02041,CONT28056,2024-06-18,2024-07-28,Chennai Port,Spain,83459,6,In Transit
SHIP00709,ORD01635,CONT35663,2025-05-19,2025-06-09,Chennai Port,Germany,32262,6,Delivered
SHIP00710,ORD02507,CONT12890,2025-09-19,2025-10-21,Tuticorin Port,Japan,132262,3,In Transit
SHIP00711,ORD00385,CONT36639,2025-08-04,2025-08-27,Tuticorin Port,Japan,109477,8,Delivered
SHIP00712,ORD00078,CONT46052,2024-07-22,2024-08-10,Chennai Port,Germany,55065,10,Delivered
SHIP00713,ORD00787,CONT53447,2025-10-02,2025-11-11,Tuticorin Port,Italy,36182,10,In Transit
SHIP00714,ORD00186,CONT48135,2024-08-29,2024-09-18,Chennai Port,Germany,72859,2,In Transit
SHIP00715,ORD00790,CONT16966,2024-11-06,2024-11-25,Tuticorin Port,USA,146087,6,In Transit
SHIP00716,ORD00027,CONT96405,2024-11-10,2024-12-09,Chennai Port,China,106414,6,In Transit
SHIP00717,ORD00307,CONT73767,2024-08-11,2024-09-03,Chennai Port,Spain,122067,4,In Transit
SHIP00718,ORD00736,CONT38095,2025-03-11,2025-03-31,Chennai Port,Spain,85555,7,In Transit
SHIP00719,ORD01032,CONT59864,2025-03-12,2025-04-09,Tuticorin Port,Vietnam,114144,3,Delivered
SHIP00720,ORD02780,CONT61336,2025-04-25,2025-06-09,Tuticorin Port,USA,82329,5,In Transit
SHIP00721,ORD02644,CONT63773,2024-11-15,2024-12-29,Tuticorin Port,UK,62568,8,In Transit
SHIP00722,ORD02890,CONT91309,2025-11-18,2025-12-22,Tuticorin Port,Vietnam,61923,6,In Transit
SHIP00723,ORD01878,CONT65516,2025-04-11,2025-05-03,Tuticorin Port,Japan,145790,0,Delivered
SHIP00724,ORD00058,CONT38200,2025-09-02,2025-09-29,Tuticorin Port,China,83390,2,In Transit
SHIP00725,ORD00086,CONT49462,2025-03-30,2025-04-21,Tuticorin Port,Germany,125229,7,Delivered
SHIP00726,ORD00828,CONT72428,2025-06-25,2025-07-20,Chennai Port,Vietnam,103623,7,In Transit
SHIP00727,ORD00962,CONT89856,2024-03-23,2024-04-29,Chennai Port,UK,118346,5,Delivered
SHIP00728,ORD00011,CONT52678,2025-01-03,2025-01-21,Tuticorin Port,France,98517,6,In Transit
SHIP00729,ORD02330,CONT56167,2024-06-28,2024-07-26,Chennai Port,South Korea,127846,8,Delivered
SHIP00730,ORD01905,CONT98550,2024-09-12,2024-09-28,Tuticorin Port,Spain,126817,10,In Transit
SHIP00731,ORD02424,CONT38162,2025-06-08,2025-06-26,Chennai Port,Japan,133486,1,Delivered
SHIP00732,ORD01172,CONT42670,2025-08-29,2025-09-21,Chennai Port,Italy,110631,9,In Transit
SHIP00733,ORD01147,CONT90709,2024-07-20,2024-09-02,Tuticorin Port,France,70579,8,Delivered
SHIP00734,ORD00143,CONT67464,2025-02-13,2025-03-10,Tuticorin Port,France,83376,10,In Transit
SHIP00735,ORD01155,CONT16458,2024-11-07,2024-12-10,Chennai Port,China,60175,4,In Transit
SHIP00736,ORD01992,CONT41032,2024-09-14,2024-10-13,Tuticorin Port,Vietnam,106600,3,In Transit
SHIP00737,ORD00642,CONT64643,2025-07-22,2025-08-11,Tuticorin Port,Italy,110758,4,In Transit
SHIP00738,ORD01436,CONT30851,2025-05-15,2025-06-05,Chennai Port,China,74018,0,In Transit
SHIP00739,ORD00827,CONT42010,2025-08-11,2025-09-06,Chennai Port,Spain,76305,3,Delivered
SHIP00740,ORD00928,CONT64423,2024-10-01,2024-10-26,Tuticorin Port,Japan,118915,0,Delivered
SHIP00741,ORD02144,CONT34885,2024-01-29,2024-02-28,Chennai Port,South Korea,45198,2,In Transit
SHIP00742,ORD00626,CONT52903,2025-01-25,2025-02-24,Tuticorin Port,Vietnam,41770,8,In Transit
SHIP00743,ORD02925,CONT99038,2024-07-21,2024-08-08,Chennai Port,Vietnam,61214,10,Delivered
SHIP00744,ORD01198,CONT55187,2025-05-16,2025-06-29,Tuticorin Port,France,112341,9,Delivered
SHIP00745,ORD01126,CONT25446,2025-03-23,2025-05-06,Chennai Port,Germany,38830,10,In Transit
SHIP00746,ORD02509,CONT67914,2024-09-24,2024-10-19,Chennai Port,Germany,91257,4,Delivered
SHIP00747,ORD01075,CONT54220,2024-05-01,2024-06-02,Chennai Port,Spain,99813,8,Delivered
SHIP00748,ORD00373,CONT39743,2025-02-20,2025-03-27,Chennai Port,UK,104034,9,Delivered
SHIP00749,ORD02528,CONT47544,2025-08-19,2025-09-06,Tuticorin Port,Spain,41989,2,Delivered
SHIP00750,ORD01494,CONT89303,2025-11-10,2025-12-11,Chennai Port,China,43259,3,Delivered
SHIP00751,ORD00916,CONT87342,2024-08-06,2024-08-23,Chennai Port,Spain,125365,5,In Transit
SHIP00752,ORD02474,CONT46022,2025-06-29,2025-07-25,Tuticorin Port,Japan,113871,7,Delivered
SHIP00753,ORD02875,CONT71356,2025-04-18,2025-05-07,Tuticorin Port,South Korea,112289,5,Delivered
SHIP00754,ORD00660,CONT75291,2025-02-01,2025-03-11,Tuticorin Port,Germany,62716,3,In Transit
SHIP00755,ORD01504,CONT93979,2024-08-02,2024-08-24,Chennai Port,USA,66329,10,In Transit
SHIP00756,ORD01731,CONT41880,2025-07-12,2025-08-22,Chennai Port,France,136062,7,Delivered
SHIP00757,ORD01567,CONT45101,2025-09-05,2025-10-12,Tuticorin Port,Spain,116781,10,In Transit
SHIP00758,ORD01884,CONT41495,2025-05-23,2025-06-22,Chennai Port,South Korea,97594,9,In Transit
SHIP00759,ORD02723,CONT76103,2025-10-16,2025-11-10,Tuticorin Port,Japan,99133,1,Delivered
SHIP00760,ORD02799,CONT57705,2025-09-09,2025-10-08,Chennai Port,Japan,128247,7,Delivered
SHIP00761,ORD01436,CONT74475,2025-09-10,2025-10-04,Chennai Port,Japan,79590,5,In Transit
SHIP00762,ORD02468,CONT55820,2025-09-22,2025-10-15,Tuticorin Port,China,41423,0,In Transit
SHIP00763,ORD02355,CONT85956,2024-12-04,2024-12-24,Tuticorin Port,China,109065,1,Delivered
SHIP00764,ORD00514,CONT14367,2025-09-22,2025-10-08,Chennai Port,France,110717,7,Delivered
SHIP00765,ORD02380,CONT45350,2025-05-20,2025-06-25,Chennai Port,South Korea,73293,8,In Transit
SHIP00766,ORD00986,CONT29237,2025-09-27,2025-10-27,Chennai Port,USA,40536,10,Delivered
SHIP00767,ORD02289,CONT49569,2025-08-30,2025-09-24,Chennai Port,France,125357,1,In Transit
SHIP00768,ORD00002,CONT57020,2024-06-09,2024-07-12,Tuticorin Port,USA,104214,1,Delivered
SHIP00769,ORD01464,CONT93091,2024-03-11,2024-03-26,Chennai Port,South Korea,60096,1,Delivered
SHIP00770,ORD02264,CONT25222,2025-02-04,2025-03-03,Tuticorin Port,China,77051,1,Delivered
SHIP00771,ORD01989,CONT70693,2024-08-19,2024-09-04,Chennai Port,Japan,119263,8,Delivered
SHIP00772,ORD01240,CONT73153,2025-09-09,2025-10-03,Tuticorin Port,France,135916,10,Delivered
SHIP00773,ORD02294,CONT56193,2024-11-29,2024-12-18,Tuticorin Port,South Korea,79995,5,In Transit
SHIP00774,ORD00334,CONT22917,2024-06-27,2024-07-21,Chennai Port,Japan,119484,8,In Transit
SHIP00775,ORD00883,CONT19113,2025-07-28,2025-09-10,Tuticorin Port,Japan,89534,6,Delivered
SHIP00776,ORD00305,CONT12298,2024-01-19,2024-02-18,Chennai Port,UK,136839,10,In Transit
SHIP00777,ORD02042,CONT64662,2025-03-02,2025-04-10,Chennai Port,China,74586,4,In Transit
SHIP00778,ORD01743,CONT48981,2025-10-29,2025-12-06,Chennai Port,Germany,80716,10,Delivered
SHIP00779,ORD02466,CONT48570,2025-11-19,2025-12-27,Tuticorin Port,South Korea,148991,8,Delivered
SHIP00780,ORD00643,CONT52009,2025-02-28,2025-04-09,Chennai Port,South Korea,91493,6,In Transit
