Inspection_ID,Batch_No,Leather_Grade,Thickness_mm,Color_Consistency,Tensile_Strength,Moisture,Defects,Inspection_Result,Rejected_Qty,Inspector
Q00764,B06277,A,1.14,99.7,26.0,9.3,No Defect,Pass,13,Inspector 9
Q00765,B03354,A,1.92,89.0,19.8,10.8,No Defect,Pass,23,Inspector 4
Q00766,B05714,A,0.97,98.0,17.7,11.0,No Defect,Pass,27,Inspector 5
Q00767,B07299,A,2.18,98.2,24.7,13.0,No Defect,Pass,5,Inspector 9
Q00768,B01269,B,1.88,91.9,16.1,14.4,Loose Grain,Pass,30,Inspector 5
Q00769,B05712,B,1.99,86.6,15.8,11.9,Loose Grain,Pass,15,Inspector 1
Q00770,B07526,B,0.9,99.8,30.3,13.3,Loose Grain,Pass,11,Inspector 9
Q00771,B06855,A,2.16,87.2,20.2,10.2,No Defect,Pass,13,Inspector 8
Q00772,B07113,B,1.01,80.3,18.6,8.7,Pinholes,Pass,3,Inspector 5
Q00773,B05564,A,1.57,80.4,15.5,11.7,No Defect,Pass,24,Inspector 7
Q00774,B00933,A,1.95,81.9,29.6,13.3,No Defect,Pass,13,Inspector 1
Q00775,B06438,C,0.99,91.1,23.8,13.6,Scars,Pass,7,Inspector 10
Q00776,B01782,B,0.98,97.7,18.4,11.4,Pinholes,Pass,23,Inspector 9
Q00777,B02823,A,1.51,89.4,29.5,13.0,No Defect,Pass,13,Inspector 8
Q00778,B04800,A,1.31,82.5,21.0,14.8,No Defect,Pass,18,Inspector 10
Q00779,B05228,B,1.53,99.1,30.6,8.8,Pinholes,Pass,25,Inspector 6
Q00780,B04079,B,2.16,81.6,29.5,10.8,Uneven Dye,Pass,24,Inspector 9
Q00781,B03733,B,1.3,80.9,15.4,8.0,Wrinkles,Pass,22,Inspector 9
Q00782,B00930,A+,1.62,90.0,27.0,8.9,No Defect,Pass,6,Inspector 1
Q00783,B02816,A,2.05,97.8,25.1,9.5,No Defect,Pass,7,Inspector 2
Q00784,B02504,A+,1.56,93.3,15.5,12.4,No Defect,Pass,15,Inspector 3
Q00785,B06813,C,1.54,94.9,16.3,14.8,Uneven Dye,Pass,14,Inspector 10
Q00786,B02372,C,1.89,96.5,17.2,9.3,Loose Grain,Pass,12,Inspector 5
Q00787,B02028,A,1.58,93.5,33.9,14.7,No Defect,Pass,28,Inspector 9
Q00788,B04596,A,0.94,88.2,28.5,11.6,No Defect,Pass,21,Inspector 1
Q00789,B00305,A,2.0,88.8,34.0,11.6,No Defect,Pass,3,Inspector 1
Q00790,B05566,A+,2.06,82.1,23.7,11.2,No Defect,Pass,25,Inspector 9
Q00791,B06304,A,0.98,98.8,33.7,13.1,No Defect,Pass,27,Inspector 1
Q00792,B04694,A,0.92,81.1,34.0,14.7,No Defect,Pass,2,Inspector 6
Q00793,B07047,A+,1.12,90.1,26.4,9.1,No Defect,Pass,10,Inspector 8
Q00794,B07332,B,1.0,84.3,20.2,13.3,Uneven Dye,Pass,28,Inspector 1
Q00795,B04535,A,2.14,88.8,20.8,12.2,No Defect,Pass,3,Inspector 1
Q00796,B05085,B,0.89,84.9,24.8,11.3,Loose Grain,Pass,4,Inspector 8
Q00797,B03718,B,1.9,94.7,21.9,13.8,Pinholes,Pass,25,Inspector 3
Q00798,B02208,A+,2.07,84.3,31.1,14.1,No Defect,Pass,12,Inspector 10
Q00799,B03482,B,1.86,89.9,23.3,8.4,Scars,Pass,19,Inspector 1
Q00800,B02163,B,0.82,91.0,20.0,13.1,Pinholes,Pass,12,Inspector 10
Q00801,B02723,C,1.98,82.7,15.8,12.6,Scars,Pass,25,Inspector 5
Q00802,B00822,A,1.39,83.7,18.9,10.6,No Defect,Pass,20,Inspector 5
Q00803,B07006,A,1.53,98.3,32.0,10.4,No Defect,Pass,15,Inspector 8
Q00804,B07987,B,1.88,85.3,15.6,11.3,Uneven Dye,Pass,28,Inspector 4
Q00805,B04100,A,1.17,86.9,26.1,8.9,No Defect,Pass,12,Inspector 2
Q00806,B03762,B,0.86,90.7,24.5,12.0,Pinholes,Pass,16,Inspector 10
Q00807,B00247,A+,1.1,95.1,25.7,9.3,No Defect,Pass,11,Inspector 9
Q00808,B00165,B,1.76,96.2,30.4,8.4,Scars,Pass,26,Inspector 10
Q00809,B00032,A,1.8,83.4,27.8,14.2,No Defect,Pass,30,Inspector 3
Q00810,B06240,A,1.84,92.8,32.5,9.8,No Defect,Pass,27,Inspector 10
Q00811,B07220,B,1.48,88.1,33.0,12.5,Pinholes,Pass,20,Inspector 2
Q00812,B01494,C,1.26,86.6,27.3,15.0,Pinholes,Pass,9,Inspector 8
Q00813,B03645,A+,1.29,99.8,20.1,12.5,No Defect,Pass,14,Inspector 10
Q00814,B06728,A,1.2,80.8,17.8,9.7,No Defect,Pass,30,Inspector 2
Q00815,B01390,B,1.91,82.8,33.5,15.0,Pinholes,Pass,23,Inspector 3
Q00816,B00826,B,1.31,89.9,31.0,9.7,Uneven Dye,Pass,12,Inspector 7
Q00817,B06698,C,1.48,91.7,26.7,10.0,Loose Grain,Pass,1,Inspector 9
Q00818,B05083,A+,2.13,96.5,18.6,8.4,No Defect,Pass,13,Inspector 10
Q00819,B06940,A,2.07,96.1,23.0,13.5,No Defect,Pass,4,Inspector 3
Q00820,B04674,A+,1.76,89.4,18.8,9.3,No Defect,Pass,12,Inspector 10
Q00821,B01811,A,1.9,89.3,27.9,11.7,No Defect,Pass,6,Inspector 6
Q00822,B04503,A+,1.75,87.0,15.6,11.4,No Defect,Pass,11,Inspector 10
Q00823,B02597,B,2.17,81.1,26.8,9.5,Pinholes,Pass,22,Inspector 9
Q00824,B04930,A,1.92,80.2,34.6,11.3,No Defect,Pass,1,Inspector 4
Q00825,B02739,B,0.99,99.5,30.8,8.5,Scars,Pass,3,Inspector 5
Q00826,B06606,C,1.67,92.5,15.6,11.8,Loose Grain,Pass,25,Inspector 3
Q00827,B07152,B,1.37,98.9,15.7,14.8,Scars,Pass,12,Inspector 4
Q00828,B03499,A,1.02,92.9,19.6,14.7,No Defect,Pass,7,Inspector 1
Q00829,B06123,A,1.37,87.1,16.4,10.8,No Defect,Pass,0,Inspector 6
Q00830,B04378,A,1.46,86.6,17.8,11.9,No Defect,Pass,1,Inspector 10
Q00831,B02487,C,1.51,99.8,24.8,10.5,Scars,Pass,16,Inspector 5
Q00832,B04804,A+,1.6,96.3,24.8,13.5,No Defect,Pass,28,Inspector 4
Q00833,B04220,B,2.09,88.9,19.5,9.5,Wrinkles,Pass,7,Inspector 6
Q00834,B04763,A,2.01,94.6,16.0,8.7,No Defect,Pass,15,Inspector 3
Q00835,B03067,B,1.33,83.7,18.3,14.4,Pinholes,Pass,4,Inspector 3
Q00836,B03219,A+,2.18,85.9,24.2,14.4,No Defect,Pass,24,Inspector 7
Q00837,B00425,A+,1.15,85.4,25.4,11.6,No Defect,Pass,4,Inspector 8
Q00838,B03651,B,1.12,96.5,25.8,10.9,Loose Grain,Pass,30,Inspector 6
Q00839,B01718,B,1.77,98.8,31.4,8.2,Wrinkles,Pass,27,Inspector 7
Q00840,B03728,A+,1.43,92.6,25.2,9.3,No Defect,Pass,6,Inspector 9
Q00841,B01257,A,1.63,97.4,22.8,9.7,No Defect,Pass,23,Inspector 2
Q00842,B07199,A,1.4,91.9,16.1,8.9,No Defect,Pass,13,Inspector 8
Q00843,B06482,A,1.68,91.7,30.8,11.1,No Defect,Pass,2,Inspector 7
Q00844,B07079,B,1.36,85.8,24.7,8.7,Pinholes,Pass,5,Inspector 6
Q00845,B03677,A,1.13,90.9,17.6,11.4,No Defect,Pass,6,Inspector 6
Q00846,B02807,B,1.66,91.4,28.4,10.9,Uneven Dye,Pass,2,Inspector 9
Q00847,B04938,A,2.18,98.4,17.9,9.8,No Defect,Pass,2,Inspector 7
Q00848,B00741,B,1.78,96.4,22.9,11.6,Uneven Dye,Pass,16,Inspector 3
Q00849,B01422,A,2.07,87.1,23.1,13.4,No Defect,Pass,5,Inspector 3
Q00850,B07110,B,2.07,88.9,31.5,13.5,Scars,Pass,27,Inspector 9
Q00851,B01613,A,1.3,92.0,30.0,8.2,No Defect,Pass,7,Inspector 10
Q00852,B06336,B,1.26,86.7,32.3,14.6,Uneven Dye,Pass,3,Inspector 2
Q00853,B04606,A,1.6,85.7,28.7,12.0,No Defect,Pass,25,Inspector 5
Q00854,B05328,A+,0.8,83.5,32.0,14.4,No Defect,Pass,14,Inspector 3
Q00855,B00802,C,1.06,91.2,28.3,9.0,Uneven Dye,Pass,15,Inspector 6
Q00856,B05800,A,1.73,88.3,18.2,14.1,No Defect,Pass,28,Inspector 3
Q00857,B02668,A+,1.41,80.9,29.6,10.8,No Defect,Pass,14,Inspector 7
Q00858,B01090,C,2.02,98.6,21.1,10.1,Uneven Dye,Pass,9,Inspector 7
Q00859,B00177,A,1.56,90.0,15.8,12.9,No Defect,Pass,6,Inspector 3
Q00860,B01197,A+,1.74,84.7,31.0,12.7,No Defect,Pass,7,Inspector 8
Q00861,B00112,B,1.01,99.8,32.0,8.0,Pinholes,Pass,4,Inspector 5
Q00862,B07532,C,1.97,84.6,30.9,9.3,Scars,Pass,24,Inspector 6
Q00863,B04554,A,1.1,98.3,26.8,11.3,No Defect,Pass,17,Inspector 7
Q00864,B06075,A+,1.0,96.7,25.9,10.5,No Defect,Pass,4,Inspector 5
Q00865,B06820,B,1.44,94.6,16.8,8.7,Uneven Dye,Pass,30,Inspector 3
Q00866,B00861,A+,2.16,85.1,23.0,13.3,No Defect,Pass,0,Inspector 1
Q00867,B05655,B,1.4,86.1,23.5,14.7,Loose Grain,Pass,7,Inspector 8
Q00868,B06768,B,0.92,99.7,26.1,8.8,Uneven Dye,Pass,29,Inspector 4
Q00869,B05358,B,1.29,95.2,20.5,14.9,Uneven Dye,Pass,22,Inspector 5
Q00870,B05306,A+,1.75,97.9,20.3,9.1,No Defect,Pass,7,Inspector 6
Q00871,B07208,B,1.85,83.5,19.1,12.1,Scars,Pass,26,Inspector 4
Q00872,B07017,C,0.87,89.1,31.8,13.3,Loose Grain,Pass,7,Inspector 1
Q00873,B01449,B,1.49,90.5,20.1,11.8,Wrinkles,Pass,7,Inspector 3
Q00874,B05676,Rejected,0.81,88.9,15.8,13.7,Pinholes,Fail,0,Inspector 5
Q00875,B01346,A,1.67,88.1,34.3,9.8,No Defect,Pass,3,Inspector 2
Q00876,B01988,A,1.56,84.1,29.5,14.4,No Defect,Pass,20,Inspector 7
Q00877,B00783,C,2.14,86.3,27.6,14.3,Wrinkles,Pass,6,Inspector 1
Q00878,B06390,A,1.53,81.8,15.5,11.4,No Defect,Pass,20,Inspector 7
Q00879,B04167,A,0.89,92.9,32.9,8.3,No Defect,Pass,8,Inspector 9
Q00880,B00571,B,0.9,82.9,15.7,14.0,Uneven Dye,Pass,7,Inspector 2
Q00881,B03763,A,2.01,81.4,19.6,9.8,No Defect,Pass,10,Inspector 8
Q00882,B02866,A,1.97,84.3,32.5,12.5,No Defect,Pass,5,Inspector 5
Q00883,B07843,A,1.03,99.9,20.0,13.7,No Defect,Pass,8,Inspector 7
Q00884,B06298,A+,1.38,95.3,33.1,14.8,No Defect,Pass,30,Inspector 8
Q00885,B00093,A,0.93,97.7,15.9,10.2,No Defect,Pass,0,Inspector 4
Q00886,B06803,A+,0.83,99.7,22.1,10.0,No Defect,Pass,4,Inspector 2
Q00887,B00087,A,1.38,93.7,26.6,14.8,No Defect,Pass,6,Inspector 3
Q00888,B01822,A+,0.97,80.2,15.3,14.2,No Defect,Pass,20,Inspector 6
Q00889,B01578,A+,1.01,81.9,18.3,15.0,No Defect,Pass,9,Inspector 3
Q00890,B05893,A,0.9,91.5,24.1,11.5,No Defect,Pass,5,Inspector 4
Q00891,B04880,A,1.8,92.3,17.6,13.5,No Defect,Pass,6,Inspector 6
Q00892,B00862,C,1.35,82.0,26.8,9.2,Loose Grain,Pass,0,Inspector 4
Q00893,B04569,A,2.12,82.3,34.6,14.4,No Defect,Pass,11,Inspector 3
Q00894,B00681,A,1.83,96.6,27.8,13.4,No Defect,Pass,24,Inspector 3
Q00895,B06671,A,0.96,81.7,19.4,14.1,No Defect,Pass,22,Inspector 4
Q00896,B00655,A,1.4,90.9,22.3,12.7,No Defect,Pass,12,Inspector 4
Q00897,B00814,A+,1.31,93.5,17.7,11.3,No Defect,Pass,20,Inspector 6
Q00898,B06346,A+,0.86,87.1,16.1,13.3,No Defect,Pass,26,Inspector 7
Q00899,B02504,A,1.22,82.7,23.7,9.3,No Defect,Pass,22,Inspector 1
Q00900,B02299,A,2.17,84.3,34.3,9.9,No Defect,Pass,18,Inspector 8
Q00901,B01925,A,1.2,81.8,34.4,11.8,No Defect,Pass,23,Inspector 1
Q00902,B03975,A+,0.9,99.1,29.4,14.3,No Defect,Pass,5,Inspector 2
Q00903,B07804,A+,1.43,85.1,27.4,13.3,No Defect,Pass,23,Inspector 9
Q00904,B01695,A+,2.09,88.3,15.8,13.1,No Defect,Pass,8,Inspector 3
Q00905,B07514,B,1.81,81.1,15.5,14.8,Scars,Pass,24,Inspector 10
Q00906,B07506,A,1.22,95.7,31.0,12.2,No Defect,Pass,30,Inspector 1
Q00907,B03555,A,1.22,98.9,31.9,11.6,No Defect,Pass,16,Inspector 8
Q00908,B00846,A,1.24,89.1,27.8,9.4,No Defect,Pass,11,Inspector 3
Q00909,B01442,B,1.64,80.8,23.1,10.8,Wrinkles,Pass,19,Inspector 5
Q00910,B05091,Rejected,1.14,95.2,35.0,11.2,Pinholes,Fail,20,Inspector 8
Q00911,B01561,A,0.88,91.6,30.4,14.4,No Defect,Pass,22,Inspector 1
Q00912,B07619,C,1.47,88.6,28.5,13.9,Uneven Dye,Pass,28,Inspector 3
Q00913,B01982,Rejected,2.16,82.8,33.7,10.1,Wrinkles,Fail,5,Inspector 8
Q00914,B00286,A+,1.27,99.6,25.8,8.3,No Defect,Pass,4,Inspector 7
Q00915,B07422,B,2.14,87.0,33.2,8.6,Scars,Pass,22,Inspector 6
Q00916,B04179,C,2.1,84.2,32.8,12.3,Wrinkles,Pass,9,Inspector 9
Q00917,B07110,A,1.23,94.3,28.4,13.1,No Defect,Pass,12,Inspector 4
Q00918,B05770,B,0.97,83.7,27.0,10.3,Pinholes,Pass,17,Inspector 8
Q00919,B07769,B,2.14,95.8,15.3,11.9,Wrinkles,Pass,13,Inspector 9
Q00920,B03233,A,1.15,92.0,20.2,12.1,No Defect,Pass,22,Inspector 5
Q00921,B05379,A,1.04,89.0,34.6,13.3,No Defect,Pass,2,Inspector 4
Q00922,B02445,C,1.32,94.4,31.9,9.4,Scars,Pass,5,Inspector 8
Q00923,B02573,A,1.62,81.5,23.1,14.4,No Defect,Pass,30,Inspector 2
Q00924,B07223,A+,0.89,86.6,23.2,12.1,No Defect,Pass,24,Inspector 2
Q00925,B04567,A+,1.27,93.6,27.4,11.1,No Defect,Pass,25,Inspector 7
Q00926,B07692,B,1.66,89.6,32.4,8.6,Pinholes,Pass,13,Inspector 2
Q00927,B05839,A,0.87,86.4,22.6,13.5,No Defect,Pass,10,Inspector 8
Q00928,B05280,B,1.35,99.4,28.1,10.3,Wrinkles,Pass,16,Inspector 4
Q00929,B02328,B,1.8,88.6,27.3,9.3,Uneven Dye,Pass,28,Inspector 7
Q00930,B00267,A,1.63,85.2,33.5,8.7,No Defect,Pass,12,Inspector 3
Q00931,B05826,A,2.17,83.1,16.8,8.1,No Defect,Pass,18,Inspector 1
Q00932,B02266,A,1.26,92.0,24.8,10.5,No Defect,Pass,4,Inspector 10
Q00933,B04074,B,0.95,99.7,27.0,10.7,Uneven Dye,Pass,19,Inspector 8
Q00934,B07915,A,1.23,89.7,30.7,9.8,No Defect,Pass,3,Inspector 3
Q00935,B05473,B,1.44,80.2,24.7,8.6,Scars,Pass,17,Inspector 6
Q00936,B05203,A,1.35,97.6,15.2,11.5,No Defect,Pass,26,Inspector 1
Q00937,B06280,A+,1.86,95.0,22.2,8.2,No Defect,Pass,17,Inspector 1
Q00938,B00461,B,1.25,86.3,28.6,12.2,Loose Grain,Pass,29,Inspector 6
Q00939,B07799,B,1.11,93.1,31.0,13.6,Uneven Dye,Pass,16,Inspector 8
Q00940,B02334,B,1.44,98.0,34.7,8.1,Scars,Pass,28,Inspector 9
Q00941,B06926,A+,1.81,99.0,26.7,8.2,No Defect,Pass,28,Inspector 4
Q00942,B05470,A,1.91,85.1,20.4,11.6,No Defect,Pass,2,Inspector 3
Q00943,B06844,C,1.71,93.9,23.5,10.2,Uneven Dye,Pass,22,Inspector 4
Q00944,B03970,A+,1.46,81.1,28.7,13.3,No Defect,Pass,7,Inspector 5
Q00945,B03862,A,1.18,96.5,21.4,13.0,No Defect,Pass,24,Inspector 3
Q00946,B06341,A+,0.85,93.6,23.7,9.6,No Defect,Pass,6,Inspector 4
Q00947,B06472,B,1.47,81.6,20.5,8.2,Pinholes,Pass,21,Inspector 6
Q00948,B00849,A,1.93,93.1,30.1,12.0,No Defect,Pass,4,Inspector 4
Q00949,B04212,A,1.39,88.7,33.0,9.9,No Defect,Pass,27,Inspector 3
Q00950,B04751,A,1.93,86.3,30.8,10.1,No Defect,Pass,13,Inspector 6
Q00951,B07119,A+,1.41,93.0,19.5,11.3,No Defect,Pass,16,Inspector 4
Q00952,B05173,A+,1.99,85.5,21.8,11.6,No Defect,Pass,0,Inspector 1
Q00953,B02485,A,1.37,88.1,28.4,10.1,No Defect,Pass,10,Inspector 8
Q00954,B04560,A+,1.54,88.1,27.0,14.1,No Defect,Pass,4,Inspector 7
Q00955,B04188,A,1.64,86.7,24.8,9.2,No Defect,Pass,26,Inspector 6
Q00956,B00269,A+,1.06,87.7,17.0,8.7,No Defect,Pass,5,Inspector 3
Q00957,B07407,B,1.37,96.9,25.7,13.6,Uneven Dye,Pass,8,Inspector 4
Q00958,B05233,B,1.04,84.2,33.6,8.7,Scars,Pass,27,Inspector 2
Q00959,B01965,A+,1.08,85.2,32.0,9.1,No Defect,Pass,10,Inspector 4
Q00960,B01302,C,1.7,90.8,34.3,13.8,Loose Grain,Pass,4,Inspector 9
Q00961,B02360,B,1.6,94.2,25.9,10.8,Wrinkles,Pass,1,Inspector 4
Q00962,B07101,A+,1.67,82.2,20.1,12.2,No Defect,Pass,4,Inspector 5
Q00963,B07945,C,1.84,96.9,18.7,12.1,Wrinkles,Pass,12,Inspector 10
Q00964,B07489,A,1.24,87.4,33.9,8.7,No Defect,Pass,4,Inspector 5
Q00965,B01869,B,1.88,87.8,21.7,8.5,Wrinkles,Pass,22,Inspector 8
Q00966,B05226,A,1.13,89.7,19.9,11.2,No Defect,Pass,17,Inspector 5
Q00967,B06178,B,2.01,90.8,18.6,8.1,Scars,Pass,20,Inspector 9
Q00968,B04660,A,1.79,93.7,31.0,9.6,No Defect,Pass,7,Inspector 1
Q00969,B07341,A,1.56,97.9,27.0,10.9,No Defect,Pass,11,Inspector 10
Q00970,B03383,A,1.85,98.6,32.8,8.9,No Defect,Pass,12,Inspector 3
Q00971,B07088,B,1.38,88.0,34.2,8.3,Wrinkles,Pass,28,Inspector 10
Q00972,B03912,B,1.44,84.8,34.5,10.8,Uneven Dye,Pass,8,Inspector 5
Q00973,B05266,A,1.58,93.8,25.9,12.1,No Defect,Pass,11,Inspector 9
Q00974,B00461,B,1.13,94.1,27.6,14.9,Uneven Dye,Pass,1,Inspector 7
Q00975,B07974,B,2.05,93.6,28.1,9.8,Pinholes,Pass,12,Inspector 7
Q00976,B03537,C,2.11,98.7,32.3,13.7,Loose Grain,Pass,8,Inspector 6
Q00977,B03348,Rejected,1.38,97.6,30.9,8.4,Pinholes,Fail,22,Inspector 1
Q00978,B07989,A,1.78,94.1,25.0,12.4,No Defect,Pass,6,Inspector 8
Q00979,B04789,B,1.07,93.6,16.2,12.9,Loose Grain,Pass,10,Inspector 8
Q00980,B05392,A,1.17,82.5,24.6,13.5,No Defect,Pass,21,Inspector 9
Q00981,B01905,A,1.82,87.6,26.8,8.1,No Defect,Pass,10,Inspector 8
Q00982,B04468,B,1.12,85.2,21.2,8.8,Pinholes,Pass,8,Inspector 4
Q00983,B03584,A,1.38,95.4,29.3,12.1,No Defect,Pass,13,Inspector 8
Q00984,B01140,A+,1.19,92.3,23.2,13.7,No Defect,Pass,7,Inspector 10
Q00985,B02010,A,2.08,98.0,16.5,8.8,No Defect,Pass,30,Inspector 1
Q00986,B04272,A+,2.13,90.3,20.8,14.7,No Defect,Pass,12,Inspector 8
Q00987,B01669,C,1.15,80.7,20.5,13.5,Wrinkles,Pass,27,Inspector 2
Q00988,B04599,A+,1.26,89.8,26.3,12.4,No Defect,Pass,18,Inspector 2
Q00989,B03393,A,0.83,92.9,31.1,12.6,No Defect,Pass,5,Inspector 9
Q00990,B00559,B,1.48,94.2,30.4,15.0,Uneven Dye,Pass,3,Inspector 4
Q00991,B03874,C,2.03,94.3,32.9,11.9,Wrinkles,Pass,3,Inspector 5
Q00992,B02961,A+,1.26,81.2,28.3,9.9,No Defect,Pass,10,Inspector 5
Q00993,B02747,A,1.01,99.7,26.6,10.7,No Defect,Pass,23,Inspector 10
Q00994,B02280,B,1.17,91.1,28.7,8.9,Wrinkles,Pass,4,Inspector 10
Q00995,B07443,A,2.12,85.3,23.0,10.9,No Defect,Pass,17,Inspector 8
Q00996,B05692,A,1.86,83.9,18.7,12.0,No Defect,Pass,3,Inspector 5
Q00997,B02845,A+,1.46,92.3,33.8,10.4,No Defect,Pass,26,Inspector 6
Q00998,B07238,A,1.29,83.8,18.4,11.7,No Defect,Pass,29,Inspector 2
Q00999,B05936,C,0.96,86.3,25.6,13.4,Pinholes,Pass,12,Inspector 1
Q01000,B02426,A+,1.38,98.5,22.4,14.0,No Defect,Pass,8,Inspector 2
Q01001,B01441,A,1.17,98.2,27.2,8.4,No Defect,Pass,2,Inspector 9
Q01002,B01185,A+,1.0,94.7,17.8,12.0,No Defect,Pass,19,Inspector 6
Q01003,B00494,A,1.04,99.3,30.0,8.5,No Defect,Pass,24,Inspector 8
Q01004,B05276,B,1.96,92.4,18.9,11.1,Uneven Dye,Pass,29,Inspector 3
Q01005,B02506,A,1.42,92.6,22.5,13.4,No Defect,Pass,23,Inspector 8
Q01006,B04130,B,1.16,86.6,22.5,9.8,Wrinkles,Pass,4,Inspector 4
Q01007,B06069,A+,1.46,98.4,24.4,9.3,No Defect,Pass,17,Inspector 7
Q01008,B00927,A,1.12,99.3,33.5,13.4,No Defect,Pass,12,Inspector 2
Q01009,B02938,B,2.12,94.4,32.4,14.4,Pinholes,Pass,14,Inspector 5
Q01010,B07759,A,0.95,86.6,27.3,12.1,No Defect,Pass,5,Inspector 6
Q01011,B00420,A,1.06,85.6,17.9,13.7,No Defect,Pass,2,Inspector 9
Q01012,B07291,A,0.95,98.0,22.3,13.3,No Defect,Pass,28,Inspector 4
Q01013,B04324,A,1.33,83.2,28.8,9.8,No Defect,Pass,23,Inspector 3
Q01014,B01944,A,1.18,86.9,28.9,13.7,No Defect,Pass,28,Inspector 5
Q01015,B04176,A,1.45,92.4,17.0,13.6,No Defect,Pass,3,Inspector 2
Q01016,B06106,A+,0.93,85.3,15.3,8.6,No Defect,Pass,25,Inspector 2
Q01017,B04081,A,1.06,94.2,17.1,12.2,No Defect,Pass,1,Inspector 7
Q01018,B07636,C,1.21,85.8,25.3,9.0,Pinholes,Pass,4,Inspector 8
Q01019,B02065,A,1.17,82.0,15.6,12.0,No Defect,Pass,28,Inspector 6
Q01020,B01263,A,0.98,85.6,32.0,13.9,No Defect,Pass,8,Inspector 8
Q01021,B04630,A+,1.82,97.3,18.5,9.0,No Defect,Pass,16,Inspector 2
Q01022,B05525,B,2.14,86.7,33.1,8.6,Loose Grain,Pass,29,Inspector 4
Q01023,B01824,B,0.83,80.8,30.1,9.4,Scars,Pass,18,Inspector 10
Q01024,B01795,A,2.08,95.2,34.6,10.6,No Defect,Pass,15,Inspector 10
Q01025,B05649,B,1.91,85.3,18.0,8.5,Wrinkles,Pass,6,Inspector 8
Q01026,B05960,B,1.93,86.3,33.9,15.0,Scars,Pass,19,Inspector 8
Q01027,B07658,C,2.19,97.5,33.6,9.8,Pinholes,Pass,14,Inspector 7
Q01028,B05063,A,1.45,94.3,17.2,14.9,No Defect,Pass,26,Inspector 8
Q01029,B03588,A,1.23,93.4,21.2,9.7,No Defect,Pass,23,Inspector 1
Q01030,B03433,A,2.19,89.3,17.9,8.4,No Defect,Pass,29,Inspector 8
Q01031,B07246,B,1.15,98.4,31.0,10.9,Pinholes,Pass,0,Inspector 2
Q01032,B07843,A,1.75,90.2,18.1,14.6,No Defect,Pass,5,Inspector 3
Q01033,B03522,A+,1.76,89.4,31.7,11.5,No Defect,Pass,15,Inspector 9
Q01034,B07082,A,1.59,96.5,28.8,8.4,No Defect,Pass,1,Inspector 9
Q01035,B07127,C,1.15,89.6,18.6,8.3,Uneven Dye,Pass,10,Inspector 5
Q01036,B00236,A+,2.15,82.0,21.2,13.5,No Defect,Pass,24,Inspector 7
Q01037,B04336,A,1.56,89.2,26.7,12.9,No Defect,Pass,6,Inspector 9
Q01038,B02212,B,0.97,91.2,32.4,9.5,Wrinkles,Pass,19,Inspector 2
Q01039,B03001,A,2.19,85.5,23.6,8.7,No Defect,Pass,23,Inspector 6
Q01040,B00394,B,0.97,90.9,28.3,12.9,Pinholes,Pass,16,Inspector 1
Q01041,B04194,Rejected,1.75,90.1,32.4,11.4,Wrinkles,Fail,6,Inspector 7
Q01042,B07529,A+,1.57,86.6,31.8,11.5,No Defect,Pass,15,Inspector 10
Q01043,B01290,C,2.19,85.9,16.7,14.4,Scars,Pass,19,Inspector 9
Q01044,B01774,B,1.72,91.8,18.6,12.5,Wrinkles,Pass,1,Inspector 5
Q01045,B04711,B,1.03,96.5,20.6,10.5,Scars,Pass,22,Inspector 7
Q01046,B01499,A,1.14,92.7,17.5,11.9,No Defect,Pass,30,Inspector 1
Q01047,B00820,A+,0.9,96.3,21.7,12.4,No Defect,Pass,30,Inspector 1
Q01048,B00126,C,1.87,93.9,27.4,9.8,Wrinkles,Pass,12,Inspector 1
Q01049,B03414,A,1.05,88.5,31.3,11.1,No Defect,Pass,18,Inspector 3
Q01050,B00991,B,1.04,86.5,26.7,9.7,Uneven Dye,Pass,3,Inspector 2
Q01051,B00408,A,0.86,82.6,32.9,13.1,No Defect,Pass,24,Inspector 6
Q01052,B00233,A,1.75,93.4,22.5,9.6,No Defect,Pass,2,Inspector 4
Q01053,B05286,A,0.98,82.0,31.6,14.8,No Defect,Pass,26,Inspector 10
Q01054,B03475,A,0.94,86.5,22.7,10.1,No Defect,Pass,25,Inspector 3
Q01055,B05684,B,1.26,99.3,28.8,14.2,Uneven Dye,Pass,19,Inspector 1
Q01056,B05672,Rejected,0.92,95.5,25.3,13.5,Loose Grain,Fail,1,Inspector 1
Q01057,B00416,Rejected,1.58,88.8,23.9,8.8,Scars,Fail,9,Inspector 1
Q01058,B04072,A,1.26,96.5,22.5,10.1,No Defect,Pass,0,Inspector 1
Q01059,B01628,Rejected,1.2,98.1,20.3,14.6,Scars,Fail,9,Inspector 5
Q01060,B05343,B,1.86,92.8,19.5,12.0,Loose Grain,Pass,16,Inspector 9
Q01061,B06708,B,1.25,84.0,21.9,13.6,Loose Grain,Pass,5,Inspector 4
Q01062,B00610,A,1.73,94.2,22.5,14.8,No Defect,Pass,15,Inspector 7
Q01063,B04835,A,1.31,93.3,29.7,8.7,No Defect,Pass,23,Inspector 2
Q01064,B06169,A,1.0,89.6,29.7,14.2,No Defect,Pass,9,Inspector 10
Q01065,B04728,A,1.26,93.6,23.4,11.6,No Defect,Pass,11,Inspector 2
Q01066,B02294,A,1.01,94.6,29.6,13.8,No Defect,Pass,19,Inspector 3
